"id","title","test case id","author","assignee","actual result","status","milestone","severity","external issues","attachments","tags"
"17","Кнопка ""Оплатить"" активна, если все поля заполнены","32","Ирина","Unassigned","Кнопка ""Оплатить"" активна при не заполненных полях","Open","","Critical","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/a242e1682136041fb76e51876a2b00e88fdc12a8/4-21.png",""
"16","Изменение цвета кнопки ""Оплатить"" с серого на зеленый, если все поля заполнены","31","Ирина","Unassigned","Цвет кнопки ""Оплатить"" при не заполненных полях имеет зеленый цвет","Open","","Minor","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/28668a833e2a41b8b9231f9aa285feb4c799a1c3/4-21.png",""
"15","Чекбокс неактивен, карта не сохраняется","30","Ирина","Unassigned","Чекбокс отключен 
<input type=""checkbox"" name=""save\_cc"" checked=""checked"" disabled="""">","Open","","Minor","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/b654099824c94a9ee42e544e9f69bc0355a84b46/image.png",""
"14","Чекбокс активен, карта сохраняется","29","Ирина","Unassigned","Чекбокс отключен
<input type=""checkbox"" name=""save\_cc"" checked=""checked"" disabled="""">","Open","","Minor","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/83c95a81dc56eb136ef1d0e9f17f148955815548/4-20.png",""
"13","Длина поля ""CVC""  равна 3 символам","25","Ирина","Unassigned","Длина поля ""CVC"" принимает на ввод максимум 2 символа","Open","","Critical","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/751aeb04151b5c4eadc5baa8a9c6845aade02e15/4-19.png",""
"12","Иконка карты ""MAESTRO"" если поле ""Номер карты"" соответствует паттерну: /^(5|5[06-9]|6\d*)$/","24","Ирина","Unassigned","Иконка карты ""MAESTRO"" не показывается, при вводе варианта паттерна ""6\d\*"" показывается иконка карты ""MASTERCARD""","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/76554ed2e8f694eac3ee7db5b8de5d874140cea5/4-16.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/c18fee332477ef253785fc0ddbc826fc489bfc25/4-18.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/481956b329595f1ac3cbe01451d540c2f17804b2/5-17.png",""
"11","Иконка карты ""UNIONPAY"" если поле ""Номер карты"" соответствует паттерну: /^(6|62)$/","23","Ирина","Unassigned","###### **Иконка карты ""UNIONPAY"" не показывается, показывается иконка карты ""MASTERCARD""**","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/4b4953ae43aea610b9eced45f3737d17e700ac5e/4-14.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/906e73a70ee7edce4aa30c63b5cb8aa6d22e915e/4-15.png",""
"10","Иконка карты ""JCB"" если поле ""Номер карты"" соответствует паттерну: /^(2|21|213|2131|1|18|180|1800|3|35)$/","22","Ирина","Unassigned","Иконка карты ""JCB"" при вводе вариантов паттернов **""2"",""21"",""213"", ""2131"",""35**"" не показывается, при вводе **""3""** показывается иконка карты ""AMERICAN\_EXPRESS"", при вводе ""1"",""18"",""180"",""1800"" показывается иконка карты ""VISA""","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/a847a5003673b41adf449c2d7271744c5a293e63/4-11.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/359fcd31c3457a94e98308915e1dc34bf8afe6be/4-12.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/3263af3b3a1b980f39f7c8d737e1c4d18124b601/4-13.png",""
"9","Иконка карты ""DISCOVER"" если поле ""Номер карты"" соответствует паттерну: /^(6|60|601|6011|65|64|64[4-9])$/","21","Ирина","Unassigned","Отображение иконки карты ""MASTERCARD"" при вводе варианта паттерна ""6""","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/c3ada9cffe6a8cdc81c45c6e6bb3d103a00c01a0/4-10.png",""
"8","Иконка карты ""MASTERCARD"" если поле ""Номер карты"" соответствует паттерну: /^(5|5[1-5]|2|22|222|222[1-9]|2[3-6]|27[0-1]|2720)$/","18","Ирина","Unassigned","Иконка ""**MASTERCARD""** появляется только при вводе только ""2720"" , при вводе других вариантов паттерна не отображается","Open","","Major","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/d9b7a240ce159c15beef3bd5e166a263b6214f4c/4-5.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/a49c8795976a8a2c0e4a982cb35c7417adb3d3b5/4-6.png",""
"7","Иконка карты ""DINERS_CLUB"" если поле ""Номер карты"" соответствует паттерну: /^(3|3[0689]|30[0-5])$/","20","Ирина","Unassigned","Иконка карты ""DINERS\_CLUB"" при вводе вариантов паттернов ""36"" и ""301"" не появляется, при вводе же ""3"" отображается иконка карты ""AMERICAN\_EXPRESS""","Open","","Critical","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/4139e4d0213cca07881827ddc31bf1f304ad5d7c/4-7.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/5705725930380a6a1cf007ddcba05de07180e273/4-8.png
https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/8457fb5bc1d1fe68f5da6dce7ff226f5142911b0/4-9.png",""
"6","Иконка карты ""VISA"" если поле ""Номер карты"" соответствует паттерну: 4","17","Ирина","Unassigned","Иконка карты ""VISA"" не отображается, при вводе в поле ""Номер карты"" паттерна 4","Open","","Critical","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/2f70d31eb79917c347f20c865187d9bd6aa3dece/4-4.png",""
"5","Галочка при заполненном поле ""Ваше имя""","15","Ирина","Unassigned","Изображение ракеты вместо галочки при заполненном поле ""Имя""","Open","","Trivial","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/b4b24b12f72c363ad6572a43ce41840a377b7e7c/4-3.png",""
"4","Крестик при пустом поле ""Ваше имя""","13","Ирина","Unassigned","Изображение шляпы вместо крестика при пустом поле ""Имя""","Open","","Minor","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/80a41dcd3eba209049df100f59627a19d174ac24/4-2.png",""
"3","Скрытие плейсхолдера при вводе текста в поле ""Имя""","12","Ирина","Unassigned","Плейсхолдер в поле ""Имя"" отсутствует","Open","","Trivial","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/cbcb56ea5c44649262ece57e3c29622b0ca1c4a9/4-2.png",""
"2","Плейсхолдер в поле ""Имя""","11","Ирина","Unassigned","Плейсхолдер в поле имя отсутствует","Open","","Minor","","https://d2cxucsjd6xvsd.cloudfront.net/public/team/81cf7f7dfe129b0bb89c7c0f48a636eb37660a85/attachment/daf69de252a42b62d58aeea876a1ef26ddb76939/4-2.png",""
"1","Размер окна 800х900","8","Ирина","Unassigned","Размер окна не соответствует размеру 800х900","Open","","Trivial","","",""
